################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: s267517
#     Report Created on: Thu Jan 13 16:38:48 2022
#     Working Directory: /home/s267517/assignment/riscv/gate/scan/syn/run/_snpDft_s267517.14525.0
#     Report Location  : ./sg_config/riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800/sg_dft_testpoint_analysis/spyglass_reports/dft_dsm/Info_random_resistance/000/Info_random_resistance_001.csv
#     SpyGlass Version : SpyGlass_vR-2020.12
#     Policy Name      : dft_dsm(SpyGlass_vR-2020.12)
#     Comment          : List of suggested test points to reduce random pattern coverage of the design.
#
################################################################################
#CrossProbeTag:DFT_DSM_RRF_TP_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1
##Sheet_Prop: column_width:2@@30%,3@@30%

TagId,"Testpoint Node","Type"
1,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.ex_stage_i.alu_i.div_valid","control-1"
2,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.ex_stage_i.n103","control-0"
3,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.id_stage_i.decoder_i.n250","control-0"
4,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.id_stage_i.decoder_i.n195","control-1"
5,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.ex_stage_i.alu_i.n504","control-0"
6,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.RISCY_PMP_pmp_unit_i.n6050","observe"
7,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.id_stage_i.controller_i.n204","control-1"
8,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.id_stage_i.decoder_i.n572","control-0"
9,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.id_stage_i.controller_i.n359","control-0"
10,"riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.id_stage_i.regc_mux[0]","control-0"
