################################################################################
#
# This file has been generated by SpyGlass:
#     Report Created by: s267517
#     Report Created on: Fri Jan 14 13:21:40 2022
#     Working Directory: /home/s267517/assignment/riscv/gate/scan/syn/run/_snpDft_s267517.18817.1
#     Report Location  : ./sg_config/riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800/sg_dft_testpoint_analysis/spyglass_reports/dft/dft_data/dft_data_02.csv
#     SpyGlass Version : SpyGlass_vR-2020.12
#     Policy Name      : dft(SpyGlass_vR-2020.12)
#     Comment          : Flip-flop DFT Information
#
################################################################################
#CrossProbeTag:DFT_DATA_CSV_TAG
##Sheet_Prop: hidecols:1
##Sheet_Prop: cross-probe-data-col:1

TagId, Flip-flop Name, Bit Count, Scannability, Atspeed Participation, Shift-CP-Root, Capture-CP-Root, Atspeed-CP-Root, D-Cnt in capture, RST-Cnt in capture, PRE-Cnt in capture, Observability, Used, Shift-Sim, Capture-Sim, Atspeed-Sim
3, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.CS_reg_2_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->01_cnt(yy-) D->01_cnt(yy-) SE->1_cnt(ny-), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1
4, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_3_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->01_cnt(yy-) D->01_cnt(yy-) SE->1_cnt(ny-), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1
5, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_1_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->01_cnt(yy-) D->01_cnt(yy-) SE->1_cnt(ny-), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1
6, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_2_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->01_cnt(yy-) D->01_cnt(yy-) SE->1_cnt(ny-), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1
7, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_4_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->01_cnt(yy-) D->01_cnt(yy-) SE->1_cnt(ny-), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1
8, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_5_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->01_cnt(yy-) D->01_cnt(yy-) SE->1_cnt(ny-), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1
9, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_6_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->01_cnt(yy-) D->01_cnt(yy-) SE->1_cnt(ny-), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1
10, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_7_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->01_cnt(yy-) D->01_cnt(yy-) SE->1_cnt(ny-), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1
11, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_8_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->01_cnt(yy-) D->01_cnt(yy-) SE->1_cnt(ny-), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1
12, riscv_core_0_128_1_16_1_1_0_0_0_0_0_0_0_0_0_3_6_15_5_1a110800.if_stage_i.prefetch_128_prefetch_buffer_i.L0_buffer_i.addr_q_reg_9_._5_one, 1, Scannable    - Inferred, Un-Atspeedable - Clock, clk_i  (rising-edge), clk_i  (rising-edge), No clock, SI->01_cnt(yy-) D->01_cnt(yy-) SE->1_cnt(ny-), RN->01_cnt(yy-), pin absent, observable, used, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1, Q->X SI->X D->X SE->1
